scale,macro_f1,weighted_f1,mae,quadratic_weighted_kappa,high_risk_recall,false_negative_rate,auroc,pr_auc,brier_score,ece,policy,budget,variant,split,n,avg_items_used
GAD-7,0.8036398018283037,0.9608296348194875,0.03787047200878156,0.929238496851367,0.9642857142857143,0.0357142857142857,0.9973807792883995,0.849368762628869,0.04280774766991474,0.014334599897839341,rt_aware_uncertainty,19,responses_rt_state,test,3644,19
PSS,0.4659777040884812,0.6287565115070961,0.5428100987925357,0.5218651429753348,0.9339622641509434,0.06603773584905659,0.8192821276546658,0.4964633437179425,0.6753379401687452,0.2410901891212205,rt_aware_uncertainty,19,responses_rt_state,test,3644,19
ISI,0.7229986117705403,0.9552371639964242,0.04747530186608123,0.8336685930910457,0.8974358974358975,0.10256410256410253,0.9853705780065505,0.7593038165406707,0.0821127044647206,0.023959292387294905,rt_aware_uncertainty,19,responses_rt_state,test,3644,19
PHQ-9,0.8685573964649096,0.9775236901150228,0.02332601536772777,0.9748496696532447,1.0,0.0,0.9916206769625371,0.858948594550386,0.07738995126472198,0.046916370045711434,response_only_uncertainty,26,responses,test,3644,26
GAD-7,0.9747148604129287,0.9972412414036713,0.0027442371020856204,0.9950041184490064,1.0,0.0,0.9995584944016972,0.9646326381467762,0.006756971487703374,0.005215684843247649,response_only_uncertainty,26,responses,test,3644,26
PSS,0.4975272702605939,0.6736394082439644,0.4816136114160263,0.5521243675689842,0.9386792452830188,0.061320754716981174,0.837996983108378,0.5111338615153125,0.6188736916001902,0.18116389347069806,response_only_uncertainty,26,responses,test,3644,26
ISI,0.8949625263993193,0.9813967896076884,0.018386388583973654,0.9252835362308196,0.8461538461538461,0.15384615384615385,0.9936542873164067,0.902489262779137,0.03457146493659366,0.011152086184399841,response_only_uncertainty,26,responses,test,3644,26
PHQ-9,0.8685573964649096,0.9775236901150228,0.02332601536772777,0.9748496696532447,1.0,0.0,0.9916388205323589,0.8577362148926806,0.08280425059923639,0.05358410051042485,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
GAD-7,0.9747148604129287,0.9972412414036713,0.0027442371020856204,0.9950041184490064,1.0,0.0,0.9996147340832312,0.9776298913114981,0.008706164447078094,0.010903458333102587,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
PSS,0.4975272702605939,0.6736394082439644,0.4816136114160263,0.5521243675689842,0.9386792452830188,0.061320754716981174,0.848138766800258,0.540197752450686,0.5841251000878976,0.11493221444685317,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
ISI,0.8949625263993193,0.9813967896076884,0.018386388583973654,0.9252835362308196,0.8461538461538461,0.15384615384615385,0.9934530640798118,0.913281183770277,0.035060642594846425,0.01348864484933085,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
PHQ-9,0.8738870279962496,0.980991887157231,0.019209659714599342,0.9787475873579305,0.9538461538461539,0.0461538461538461,0.9935078028001314,0.8698922534637207,0.07267884143892361,0.00869085396999877,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
GAD-7,0.8097647572379506,0.9611289353717793,0.03704720087815587,0.9271584603329442,0.8452380952380952,0.15476190476190477,0.9996418716423185,0.9776710576907617,0.007906428236130568,0.005487400667139816,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
PSS,0.5007871369391367,0.6747677335357418,0.45911086717892424,0.5692179147391481,0.9386792452830188,0.061320754716981174,0.8503641311527943,0.5418034899530775,0.582558032264514,0.16217793715254503,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
ISI,0.8756497889199548,0.9754056821043391,0.023600439077936335,0.8974852844290712,0.7435897435897436,0.2564102564102564,0.994097287225074,0.9274928354098713,0.03008478879905942,0.009876915147380753,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
